#Gene Name	Gene ID	Protein ID	Ensembl Reference ID
ATG15	FGRRES_02519	CEF74827	fusarium_graminearum
ATG16	YMR159C	YMR159C	saccharomyces_cerevisiae
ATG16	MGG_05255	MGG_05255T0	magnaporthe_oryzae
ATG16	FOXG_10482	FOXG_10482P0	fusarium_oxysporum
ATG16	FGRRES_02566	CEF74880	fusarium_graminearum
ATG17	YLR423C	YLR423C	saccharomyces_cerevisiae
ATG17	MGG_07667	MGG_07667T0	magnaporthe_oryzae
ATG17	FOXG_17742	FOXG_17742P0	fusarium_oxysporum
ATG17	FGRRES_06510	CEF85283	fusarium_graminearum
ATG18	YFR021W	YFR021W	saccharomyces_cerevisiae
ATG18	MGG_03139	MGG_03139T0	magnaporthe_oryzae
ATG18	FOXG_13945	FOXG_13945P0	fusarium_oxysporum
ATG18	FGRRES_04297	CEF79276	fusarium_graminearum
ATG19	YOL082W	YOL082W	saccharomyces_cerevisiae
ATG20	YDL113C	YDL113C	saccharomyces_cerevisiae
ATG20	MGG_12832	MGG_12832T0	magnaporthe_oryzae
ATG20	FOXG_01866	FOXG_01866P0	fusarium_oxysporum
ATG20	FGRRES_16745	CEF84540	fusarium_graminearum
ATG21	YPL100W	YPL100W	saccharomyces_cerevisiae
ATG21	MGG_03139	MGG_03139T0	magnaporthe_oryzae
ATG21	FOXG_13945	FOXG_13945P0	fusarium_oxysporum
ATG21	FGRRES_04297	CEF79276	fusarium_graminearum
ATG22	YCL038C	YCL038C	saccharomyces_cerevisiae
ATG22	MGG_09904	MGG_09904T0	magnaporthe_oryzae
ATG22	FOXG_00164	FOXG_00164P0	fusarium_oxysporum
ATG22	FGRRES_01225	CEF73316	fusarium_graminearum
ATG23	YLR431C	YLR431C	saccharomyces_cerevisiae
ATG24	YJL036W	YJL036W	saccharomyces_cerevisiae
ATG24	MGG_03638	MGG_03638T0	magnaporthe_oryzae
ATG24	FOXG_05774	FOXG_05774P0	fusarium_oxysporum
ATG24	FGRRES_09157	CEF84195	fusarium_graminearum
ATG25	HPODL_01515	ESW97416	ogataea_parapolymorpha_dl_1
ATG26	YLR189C	YLR189C	saccharomyces_cerevisiae
ATG26	MGG_03459	MGG_03459T0	magnaporthe_oryzae
ATG26	FOXG_04063	FOXG_04063P0	fusarium_oxysporum
ATG26	FGRRES_13231	CEF83977	fusarium_graminearum
ATG27	YJL178C	YJL178C	saccharomyces_cerevisiae
ATG27	MGG_02386	MGG_02386T0	magnaporthe_oryzae
ATG27	FOXG_11124	FOXG_11124P0	fusarium_oxysporum
ATG27	FGRRES_01574	CEF73723	fusarium_graminearum
ATG28	PAS_chr2-1_0596	CAY69233	komagataella_pastoris
ATG28	MGG_08061	MGG_08061T0	magnaporthe_oryzae
ATG28	FOXG_15443	FOXG_15443P0	fusarium_oxysporum
ATG28	FGRRES_16842_M	CEF85081	fusarium_graminearum
ATG29	YPL166W	YPL166W	saccharomyces_cerevisiae
ATG29	MGG_02790	MGG_02790T0	magnaporthe_oryzae
ATG29	FOXG_06075	FOXG_06075P0	fusarium_oxysporum
ATG29	FGRRES_13575	CEF83885	fusarium_graminearum
ATG30	PAS_chr3_1230	CAY70917	komagataella_pastoris
ATG31	YDR022C	YDR022C	saccharomyces_cerevisiae
ATG32	YIL146C	YIL146C	saccharomyces_cerevisiae
ATG33	YLR356W	YLR356W	saccharomyces_cerevisiae
ATG33	MGG_12948	MGG_12948T0	magnaporthe_oryzae
ATG33	FOXG_00506	FOXG_00506P0	fusarium_oxysporum
ATG33	FGRRES_00549	CEF72501	fusarium_graminearum
ATG34	YOL083W	YOL083W	saccharomyces_cerevisiae
ATG35	PAS_chr1-1_0041	CAY67399	komagataella_pastoris
ATG36	YJL185C	YJL185C	saccharomyces_cerevisiae
ATG37	PAS_chr4_0602	CAY71862	komagataella_pastoris
ATG37	MGG_03156	MGG_03156T0	magnaporthe_oryzae
ATG37	FOXG_07986	FOXG_07986P0	fusarium_oxysporum
ATG37	FGRRES_05200	CEF87250	fusarium_graminearum
ATG38	YLR211C	YLR211C	saccharomyces_cerevisiae
ATG39	YLR312C	YLR312C	saccharomyces_cerevisiae
ATG40	YOR152C	YOR152C	saccharomyces_cerevisiae
ATG41	YPL250C	YPL250C	saccharomyces_cerevisiae

